,Pathway_1,Pathway_2,Pathway_3,Pathway_4,Pathway_5,Pathway_6,Pathway_7,Pathway_8,Pathway_9,Pathway_10,Pathway_11,Pathway_12,Pathway_13,Pathway_14,Pathway_15,Pathway_16,Pathway_17,Pathway_18,Pathway_19,Pathway_20,Pathway_21,Pathway_22,Pathway_23,Pathway_24,Pathway_25,Pathway_26,Pathway_27,Pathway_28,Pathway_29,Pathway_30,Pathway_31,Pathway_32,Pathway_33,Pathway_34,Pathway_35,Pathway_36,Pathway_37,Pathway_38,Pathway_39,Pathway_40,Pathway_41,Pathway_42,Pathway_43,Pathway_44,Pathway_45,Pathway_46,Pathway_47,Pathway_48,Pathway_49,Pathway_50,Pathway_51,Pathway_52,Pathway_53,Pathway_54,Pathway_55,Pathway_56,Pathway_57,Pathway_58,Pathway_59,Pathway_60,Pathway_61,Pathway_62,Pathway_63,Pathway_64,Pathway_65,Pathway_66,Pathway_67,Pathway_68,Pathway_69,Pathway_70,Pathway_71,Pathway_72,Pathway_73,Pathway_74,Pathway_75,Pathway_76,Pathway_77,Pathway_78,Pathway_79,Pathway_80,Pathway_81,Pathway_82,Pathway_83,Pathway_84,Pathway_85,Pathway_86,Pathway_87,Pathway_88,Pathway_89,Pathway_90,Pathway_91,Pathway_92,Pathway_93,Pathway_94,Pathway_95,Pathway_96,Pathway_97,Pathway_98,Pathway_99,Pathway_100,Pathway_101,Pathway_102,Pathway_103,Pathway_104,Pathway_105,Pathway_106,Pathway_107,Pathway_108,Pathway_109,Pathway_110,Pathway_111,Pathway_112,Pathway_113
ENSG00000173175,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Amphetamine addiction,Apelin signaling pathway,Bile secretion,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cocaine addiction,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Dopaminergic synapse,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Longevity regulating pathway,Melanogenesis,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Parkinson disease,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000178372,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Apelin signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,Cellular senescence,Circadian entrainment,Dopaminergic synapse,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Phosphatidylinositol signaling system,Phototransduction,Rap1 signaling pathway,Ras signaling pathway,Renin secretion,Salivary secretion,Tuberculosis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000178363,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Apelin signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,Cellular senescence,Circadian entrainment,Dopaminergic synapse,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Phosphatidylinositol signaling system,Phototransduction,Rap1 signaling pathway,Ras signaling pathway,Renin secretion,Salivary secretion,Tuberculosis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000160808,Adrenergic signaling in cardiomyocytes,Apelin signaling pathway,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000157445,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000069849,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Aldosterone-regulated sodium reabsorption,Bile secretion,Carbohydrate digestion and absorption,Cardiac muscle contraction,Endocrine and other factor-regulated calcium reabsorption,Gastric acid secretion,Insulin secretion,Mineral absorption,Pancreatic secretion,Protein digestion and absorption,Proximal tubule bicarbonate reclamation,Salivary secretion,Thyroid hormone signaling pathway,Thyroid hormone synthesis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000182389,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000118160,Adrenergic signaling in cardiomyocytes,Apelin signaling pathway,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Dilated cardiomyopathy,Endocrine and other factor-regulated calcium reabsorption,Hypertrophic cardiomyopathy,Mineral absorption,Olfactory transduction,Protein digestion and absorption,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000137731,Adrenergic signaling in cardiomyocytes,Aldosterone-regulated sodium reabsorption,Bile secretion,Carbohydrate digestion and absorption,Cardiac muscle contraction,Endocrine and other factor-regulated calcium reabsorption,Insulin secretion,Mineral absorption,Pancreatic secretion,Protein digestion and absorption,Proximal tubule bicarbonate reclamation,Salivary secretion,Thyroid hormone signaling pathway,Thyroid hormone synthesis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000148660,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Amphetamine addiction,Axon guidance,Calcium signaling pathway,Cholinergic synapse,Circadian entrainment,Cushing syndrome,Diabetic cardiomyopathy,Dopaminergic synapse,ErbB signaling pathway,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,HIF-1 signaling pathway,Inflammatory mediator regulation of TRP channels,Insulin secretion,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Necroptosis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Proteoglycans in cancer,Tuberculosis,Wnt signaling pathway,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000079337,Adrenergic signaling in cardiomyocytes,Leukocyte transendothelial migration,Long-term potentiation,Phospholipase D signaling pathway,Rap1 signaling pathway,Serotonergic synapse,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167460,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000081248,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Alzheimer disease,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Chemical carcinogenesis,Cholinergic synapse,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,GABAergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hypertrophic cardiomyopathy,Insulin secretion,MAPK signaling pathway,Oxytocin signaling pathway,Pathways of neurodegeneration,Prion disease,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000172531,Adrenergic signaling in cardiomyocytes,Alcoholism,Amphetamine addiction,Cellular senescence,Diabetic cardiomyopathy,Dopaminergic synapse,Focal adhesion,Herpes simplex virus 1 infection,Hippo signaling pathway,Inflammatory mediator regulation of TRP channels,Insulin resistance,Insulin signaling pathway,Long-term potentiation,Oocyte meiosis,Oxytocin signaling pathway,Platelet activation,Proteoglycans in cancer,Regulation of actin cytoskeleton,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,mRNA surveillance pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000114353,Adrenergic signaling in cardiomyocytes,Alcoholism,Apelin signaling pathway,Axon guidance,Chagas disease,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cocaine addiction,Cushing syndrome,Dopaminergic synapse,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Leukocyte transendothelial migration,Long-term depression,Melanogenesis,Morphine addiction,Oxytocin signaling pathway,"Parathyroid hormone synthesis, secretion and action",Parkinson disease,Pathways in cancer,Pertussis,Platelet activation,Progesterone-mediated oocyte maturation,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Sphingolipid signaling pathway,Toxoplasmosis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000156052,Adrenergic signaling in cardiomyocytes,African trypanosomiasis,Aldosterone synthesis and secretion,Alzheimer disease,Amoebiasis,Apelin signaling pathway,Calcium signaling pathway,Chagas disease,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Huntington disease,Inflammatory mediator regulation of TRP channels,Insulin secretion,Long-term depression,Long-term potentiation,Melanogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Pathways of neurodegeneration,Platelet activation,Rap1 signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Sphingolipid signaling pathway,Spinocerebellar ataxia,Thyroid hormone synthesis,Vascular smooth muscle contraction,Yersinia infection,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136546,Adrenergic signaling in cardiomyocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000130433,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000114854,Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000166862,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000151062,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000177098,Adrenergic signaling in cardiomyocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000151067,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Chemical carcinogenesis,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Dopaminergic synapse,GABAergic synapse,Glutamatergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hypertrophic cardiomyopathy,Insulin secretion,Long-term potentiation,MAPK signaling pathway,Oxytocin signaling pathway,Pathways of neurodegeneration,Prion disease,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Taste transduction,Type II diabetes mellitus,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000160014,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Apelin signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,Cellular senescence,Circadian entrainment,Dopaminergic synapse,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Phosphatidylinositol signaling system,Phototransduction,Rap1 signaling pathway,Ras signaling pathway,Renin secretion,Salivary secretion,Tuberculosis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000170214,Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Neuroactive ligand-receptor interaction,Salivary secretion,Vascular smooth muscle contraction,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000163399,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Aldosterone-regulated sodium reabsorption,Bile secretion,Carbohydrate digestion and absorption,Cardiac muscle contraction,Endocrine and other factor-regulated calcium reabsorption,Gastric acid secretion,Insulin secretion,Mineral absorption,Pancreatic secretion,Protein digestion and absorption,Proximal tubule bicarbonate reclamation,Salivary secretion,Thyroid hormone signaling pathway,Thyroid hormone synthesis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000171873,Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Neuroactive ligand-receptor interaction,Salivary secretion,Vascular smooth muscle contraction,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000183873,Adrenergic signaling in cardiomyocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000138031,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Apelin signaling pathway,Bile secretion,Calcium signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Longevity regulating pathway,Melanogenesis,Morphine addiction,Olfactory transduction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salivary secretion,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,Vasopressin-regulated water reabsorption,Vibrio cholerae infection,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000213639,Adrenergic signaling in cardiomyocytes,Alcoholism,Amphetamine addiction,Cellular senescence,Diabetic cardiomyopathy,Dopaminergic synapse,Focal adhesion,Herpes simplex virus 1 infection,Hippo signaling pathway,Inflammatory mediator regulation of TRP channels,Insulin resistance,Insulin signaling pathway,Long-term potentiation,Oocyte meiosis,Oxytocin signaling pathway,Platelet activation,Proteoglycans in cancer,Regulation of actin cytoskeleton,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,mRNA surveillance pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000129991,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Diabetic cardiomyopathy,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000129007,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Apelin signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,Cellular senescence,Circadian entrainment,Dopaminergic synapse,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Phosphatidylinositol signaling system,Phototransduction,Rap1 signaling pathway,Ras signaling pathway,Renin secretion,Salivary secretion,Tuberculosis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000183023,Adrenergic signaling in cardiomyocytes,Apelin signaling pathway,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Dilated cardiomyopathy,Endocrine and other factor-regulated calcium reabsorption,Hypertrophic cardiomyopathy,Mineral absorption,Olfactory transduction,Protein digestion and absorption,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167535,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000121281,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Apelin signaling pathway,Bile secretion,Calcium signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Longevity regulating pathway,Melanogenesis,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salivary secretion,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000070961,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Calcium signaling pathway,Endocrine and other factor-regulated calcium reabsorption,Mineral absorption,Pancreatic secretion,Salivary secretion,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
